street.url,address_id,street_num,street_name,quadrant,anc,police_service_area,ward,neighborhood_cluster,police_district,police_sector,census_tract,voter_precinct,single_member_district,zip_code,roadway_id,lat,lon,residential_type
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=4015+HIGHWOOD+CT+NW,274224,4010,HIGHWOOD COURT,NW,ANC 2E,Police Service Area 206,Ward 2,Cluster 4,Police District - Second District,Police Sector 2D2,000300,Precinct 6,SMD 2E01,20007,3468,38.91688024,-77.07787709,Ward 2
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=2853+27TH+ST+NW,220078,2850,27TH STREET,NW,ANC 3C,Police Service Area 204,Ward 3,Cluster 15,Police District - Second District,Police Sector 2D2,000502,Precinct 26,SMD 3C03,20008,18398,38.92804042,-77.05556733,NON RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=6149+32ND+ST+NW,262189,6100,32ND STREET,NW,ANC 3G,Police Service Area 201,Ward 4,Cluster 10,Police District - Second District,Police Sector 2D1,001500,Precinct 51,SMD 3G04,20015,7599,38.96999587,-77.06412833,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1155+11TH+ST+NW,301876,1101,11TH STREET,NW,ANC 2F,Police Service Area 307,Ward 2,Cluster 8,Police District - Third District,Police Sector 3D3,004902,Precinct 129,SMD 2F06,20001,3711,38.90443287,-77.02680783,NON RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=6204+8TH+ST+NW,250547,6201,8TH STREET,NW,ANC 4B,Police Service Area 402,Ward 4,Cluster 17,Police District - Fourth District,Police Sector 4D1,001901,Precinct 59,SMD 4B04,20011,12413,38.9651097,-77.02398543,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=4949+16TH+ST+NW,258782,4900,16TH STREET,NW,ANC 4A,Police Service Area 404,Ward 4,Cluster 18,Police District - Fourth District,Police Sector 4D3,002600,Precinct 48,SMD 4A08,20011,7368,38.95077202,-77.03693299,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=4515+WESTERN+AVE+NW,269321,4513,WESTERN AVENUE,NW,ANC 3E,Police Service Area 202,Ward 3,Cluster 11,Police District - Second District,Police Sector 2D1,001001,Precinct 31,SMD 3E02,20016,6206,38.94936608,-77.09991853,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=19+OBSERVATORY+CIR+NW,284150,19,OBSERVATORY CIRCLE,NW,ANC 3C,Police Service Area 204,Ward 3,Cluster 15,Police District - Second District,Police Sector 2D2,000400,Precinct 12,SMD 3C08,20008,39653,38.91995456,-77.06350226,Ward 3
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1649+S+ST+NW,241874,1603,S STREET,NW,ANC 2B,Police Service Area 301,Ward 2,Cluster 6,Police District - Third District,Police Sector 3D3,004201,Precinct 141,SMD 2B09,20009,14545,38.9142865,-77.03721308,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=4666+MASSACHUSETTS+AVE+NW,301549,4600,MASSACHUSETTS AVENUE,NW,ANC 3D,Police Service Area 205,Ward 3,Cluster 13,Police District - Second District,Police Sector 2D2,000901,Precinct 9,SMD 3D02,20016,8490,38.9414822,-77.09134455,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=4324+FORDHAM+RD+NW,284864,4300,FORDHAM ROAD,NW,ANC 3D,Police Service Area 205,Ward 3,Cluster 13,Police District - Second District,Police Sector 2D2,000901,Precinct 9,SMD 3D03,20016,6072,38.94447706,-77.09642892,NON RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1499+LEEGATE+RD+NW,257057,1404,LEEGATE ROAD,NW,ANC 4A,Police Service Area 401,Ward 4,Cluster 16,Police District - Fourth District,Police Sector 4D1,0001600,Precinct 62,SMD 4A02,20012,11123,38.98647641,-77.03391521,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1149+L+ST+NW,239119,1100,L STREET,NW,ANC 2F,Police Service Area 209,Ward 2,Cluster 8,Police District - Second District,Police Sector 2D3,010100,Precinct 129,SMD 2F08,20005,9337,38.90355024,-77.02754707,NON RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=3889+PORTER+ST+NW,223351,3880,PORTER STREET,NW,ANC 3C,Police Service Area 204,Ward 3,Cluster 14,Police District - Second District,Police Sector 2D2,001002,Precinct 29,SMD 3C06,20016,9584,38.93705999,-77.07658827,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1562+1ST+ST+NW,238174,1500,1ST STREET,NW,ANC 5E,Police Service Area 308,Ward 5,Cluster 21,Police District - Third District,Police Sector 3D2,004600,Precinct 19,SMD 5E05,20001,15928,38.90978183,-77.01241215,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=3038+ELLICOTT+ST+NW,223029,3033,ELLICOTT STREET,NW,ANC 3F,Police Service Area 203,Ward 3,Cluster 12,Police District - Second District,Police Sector 2D1,001301,Precinct 138,SMD 3F03,20008,7408,38.95355603,-77.06238347,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=4201+44TH+ST+NW,265545,4201,44TH STREET,NW,ANC 3E,Police Service Area 202,Ward 3,Cluster 11,Police District - Second District,Police Sector 2D1,001001,Precinct 30,SMD 3E05,20016,14686,38.94339979,-77.0859987,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1416+K+ST+NW,64402,1416,K STREET,SE,ANC 6B,Police Service Area 106,Ward 6,Cluster 26,Police District - First District,Police Sector 1D3,007100,Precinct 91,SMD 6B06,20003,19585,38.87857607,-76.98483991,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1710+22ND+ST+NW,57648,1710,22ND STREET,SE,ANC 8A,Police Service Area 607,Ward 8,Cluster 34,Police District - Sixth District,Police Sector 6D2,007601,Precinct 133,SMD 8A03,20020,10764,38.86896541,-76.97469878,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=955+VARNEY+ST+SE,278744,900,VARNEY STREET,SE,ANC 8E,Police Service Area 706,Ward 8,Cluster 39,Police District - Seventh District,Police Sector 7D3,009700,Precinct 121,SMD 8E05,20032,12191,38.83552739,-76.99173058,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=3907+R+ST+SE,29419,3910,R STREET,SE,ANC 7E,Police Service Area 605,Ward 7,Cluster 34,Police District - Sixth District,Police Sector 6D2,009902,Precinct 110,SMD 7E02,20020,18085,38.86610938,-76.9474125,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=756+CONGRESS+ST+SE,79059,756,CONGRESS STREET,SE,ANC 8C,Police Service Area 705,Ward 8,Cluster 39,Police District - Seventh District,Police Sector 7D2,009804,Precinct 122,SMD 8C07,20032,39366,38.84035736,-76.99487366,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=4241+6TH+ST+SE,24551,4240,6TH STREET,SE,ANC 8D,Police Service Area 706,Ward 8,Cluster 39,Police District - Seventh District,Police Sector 7D3,009811,Precinct 125,SMD 8D01,20032,15258,38.82770175,-76.99821275,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=4713+SOUTHERN+AVE+SE,18024,4712,SOUTHERN AVENUE,SE,ANC 7E,Police Service Area 604,Ward 7,Cluster 33,Police District - Sixth District,Police Sector 6D3,007707,Precinct 106,SMD 7E01,20019,2041,38.87528787,-76.93235881,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=215+6TH+ST+SE,51222,215,6TH STREET,SE,ANC 6B,Police Service Area 107,Ward 6,Cluster 26,Police District - First District,Police Sector 1D2,006600,Precinct 89,SMD 6B02,20003,7518,38.88709222,-76.99870619,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1149+CONGRESS+ST+SE,74396,1101,CONGRESS STREET,SE,ANC 8E,Police Service Area 705,Ward 8,Cluster 39,Police District - Seventh District,Police Sector 7D2,007304,Precinct 120,SMD 8E04,20032,8396,38.8410678,-76.99093503,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=3249+WHEELER+RD+SE,38481,3210,WHEELER ROAD,SE,ANC 8C,Police Service Area 705,Ward 8,Cluster 39,Police District - Seventh District,Police Sector 7D2,007304,Precinct 120,SMD 8C03,20032,36377,38.84317416,-76.99385748,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=968+14TH+ST+SE,301795,961,14TH STREET,SE,ANC 6B,Police Service Area 106,Ward 6,Cluster 26,Police District - First District,Police Sector 1D3,007100,Precinct 91,SMD 6B07,20003,5358,38.87859378,-76.98577894,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=5612+SOUTHERN+AVE+SE,7416,5612,SOUTHERN AVENUE,SE,ANC 7E,Police Service Area 604,Ward 7,Cluster 33,Police District - Sixth District,Police Sector 6D3,009905,Precinct 105,SMD 7E06,20019,7278,38.88483038,-76.91998633,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=249+35TH+ST+SE,147779,220,35TH STREET,SE,ANC 7F,Police Service Area 603,Ward 7,Cluster 32,Police District - Sixth District,Police Sector 6D3,007708,Precinct 132,SMD 7F06,20019,1549,38.88701442,-76.95582336,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=904+BLAKNEY+LN+SE,280208,904,BLAKNEY LANE,SE,ANC 8E,Police Service Area 706,Ward 8,Cluster 39,Police District - Seventh District,Police Sector 7D3,009700,Precinct 121,SMD 8E05,20032,1842,38.83640188,-76.99226376,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1549+42ND+ST+SE,60722,1549,42ND STREET,SE,ANC 7E,Police Service Area 605,Ward 7,Cluster 34,Police District - Sixth District,Police Sector 6D2,009902,Precinct 110,SMD 7E02,20020,7818,38.8674785,-76.94284541,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=50+NORTH CAROLINA+AVE+SE,277961,50,NORTH CAROLINA AVE,SE,ANC 6B,Police Service Area 106,Ward 6,Cluster 26,Police District - First District,Police Sector 1D3,006500,Precinct 130,SMD 6B01,20003,14316,38.8836087,-77.0062155,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=650+RICKOVER+ST+SE,311870,612,RICKOVER ST,SE,ANC 6D,Police Service Area 106,Ward 6,Cluster 27,Police District - First District,Police Sector 1D3,007200,Precinct 131,SMD 6D07,20374,11748,38.87565326,-76.99728235,NON RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=105+13TH+ST+SE,74887,105,13TH STREET,SE,ANC 6B,Police Service Area 107,Ward 6,Cluster 26,Police District - First District,Police Sector 1D2,006700,Precinct 88,SMD 6B05,20003,12385,38.88868435,-76.98855144,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=949+C+ST+SE,81650,900,C STREET,SE,ANC 6B,Police Service Area 107,Ward 6,Cluster 26,Police District - First District,Police Sector 1D2,006700,Precinct 88,SMD 6B05,20003,1482,38.88615905,-76.99349463,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=516+16TH+ST+SE,13283,511,16TH STREET,SE,ANC 6B,Police Service Area 107,Ward 6,Cluster 26,Police District - First District,Police Sector 1D2,006802,Precinct 91,SMD 6B09,20003,9532,38.88239934,-76.9824258,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=2249+TAYLOR+ST+NE,50771,2200,TAYLOR STREET,NE,ANC 5B,Police Service Area 503,Ward 5,Cluster 20,Police District - Fifth District,Police Sector 5D2,009400,Precinct 69,SMD 5B01,20018,10749,38.94087711,-76.97387183,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=5036+6TH+PL+NE,14390,5036,6TH PLACE,NE,ANC 5A,Police Service Area 405,Ward 5,Cluster 20,Police District - Fourth District,Police Sector 4D2,009509,Precinct 66,SMD 5A08,20017,1827,38.95094152,-76.99821797,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=4909+LEE+ST+NE,16200,4919,LEE STREET,NE,ANC 7C,Police Service Area 602,Ward 7,Cluster 31,Police District - Sixth District,Police Sector 6D1,007806,Precinct 93,SMD 7C07,20019,6413,38.90446034,-76.93054048,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1149+9TH+ST+NE,311760,1101,9TH STREET,NE,ANC 6A,Police Service Area 501,Ward 6,Cluster 25,Police District - Fifth District,Police Sector 5D1,010600,Precinct 82,SMD 6A01,20002,6037,38.90391141,-76.9934876,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=3849+HANSBERRY+CT+NE,309582,3800,HANSBERRY COURT,NE,ANC 5C,Police Service Area 503,Ward 5,Cluster 24,Police District - Fifth District,Police Sector 5D2,009000,Precinct 139,SMD 5C03,20018,38693,38.92302981,-76.95122807,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=5049+BROOKS+ST+NE,15333,5004,BROOKS STREET,NE,ANC 7C,Police Service Area 602,Ward 7,Cluster 31,Police District - Sixth District,Police Sector 6D1,007804,Precinct 97,SMD 7C03,20019,10107,38.89235628,-76.92984289,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=849+3RD+ST+NE,145578,849,3RD STREET,SW,ANC 6D,Police Service Area 103,Ward 6,Cluster 9,Police District - First District,Police Sector 1D1,010500,Precinct 128,SMD 6D03,20024,20900,38.87979036,-77.01543833,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=709+TAYLOR+ST+NE,249737,709,TAYLOR STREET,NW,ANC 4C,Police Service Area 407,Ward 4,Cluster 18,Police District - Fourth District,Police Sector 4D2,002400,Precinct 45,SMD 4C08,20011,10524,38.94109773,-77.02205415,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=449+V+ST+NE,28174,401,V STREET,NE,ANC 5E,Police Service Area 502,Ward 5,Cluster 21,Police District - Fifth District,Police Sector 5D1,008702,Precinct 75,SMD 5E03,20002,1896,38.91793692,-77.000363,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=349+V+ST+NE,152291,301,V STREET,NE,ANC 5E,Police Service Area 502,Ward 5,Cluster 21,Police District - Fifth District,Police Sector 5D1,008702,Precinct 75,SMD 5E03,20002,9597,38.91793423,-77.00185224,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=2349+31ST+ST+NE,48458,2330,31ST STREET,NE,ANC 5C,Police Service Area 503,Ward 5,Cluster 24,Police District - Fifth District,Police Sector 5D2,011100,Precinct 71,SMD 5C04,20018,9051,38.92073197,-76.9639848,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1849+BLADENSBURG+RD+NE,286507,1842,BLADENSBURG ROAD,NE,ANC 5C,Police Service Area 506,Ward 5,Cluster 23,Police District - Fifth District,Police Sector 5D3,011100,Precinct 72,SMD 5C04,20002,20909,38.91541714,-76.97457888,NON RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=2549+22ND+ST+NE,46529,2504,22ND STREET,NE,ANC 5C,Police Service Area 503,Ward 5,Cluster 22,Police District - Fifth District,Police Sector 5D2,011100,Precinct 72,SMD 5C02,20018,11047,38.92270069,-76.97439223,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1224+NEW YORK+AVE+NE,285915,1224,NEW YORK AVE,NE,ANC 5D,Police Service Area 506,Ward 5,Cluster 23,Police District - Fifth District,Police Sector 5D3,008803,Precinct 76,SMD 5D01,20002,37719,38.91361973,-76.99028011,NON RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=2315+15TH+ST+NE,286843,2315,15TH ST,NE,ANC 5C,Police Service Area 505,Ward 5,Cluster 22,Police District - Fifth District,Police Sector 5D2,009102,Precinct 72,SMD 5C06,20018,13849,38.92118795,-76.98233033,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=2849+CHANCELLOR'S+WAY+NE,310304,2849,CHANCELLOR'S WAY,NE,ANC 5E,Police Service Area 502,Ward 5,Cluster 21,Police District - Fifth District,Police Sector 5D1,009201,Precinct 74,SMD 5E01,20017,39970,38.92690029,-76.99934195,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1749+1ST+ST+NE,57975,1700,1ST STREET,NE,ANC 5E,Police Service Area 502,Ward 5,Cluster 21,Police District - Fifth District,Police Sector 5D1,008701,Precinct 75,SMD 5E04,20002,14755,38.91284531,-77.00673714,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=4149+BENNING+RD+NE,303736,4101,BENNING ROAD,NE,ANC 7F,Police Service Area 603,Ward 7,Cluster 32,Police District - Sixth District,Police Sector 6D3,009603,Precinct 102,SMD 7F01,20019,20526,38.89309536,-76.94426566,NON RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1149+PARK+ST+NE,74605,1100,PARK STREET,NE,ANC 6A,Police Service Area 108,Ward 6,Cluster 25,Police District - First District,Police Sector 1D2,008100,Precinct 85,SMD 6A03,20002,2069,38.89296519,-76.9913426,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=4699+HUNT+PL+NE,307829,4601,HUNT PLACE,NE,ANC 7C,Police Service Area 602,Ward 7,Cluster 31,Police District - Sixth District,Police Sector 6D1,007809,Precinct 94,SMD 7C04,20019,17329,38.90054583,-76.93636677,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=2110+1ST+PL+NE,227815,2110,1ST STREET,NW,ANC 5E,Police Service Area 306,Ward 5,Cluster 21,Police District - Third District,Police Sector 3D2,003301,Precinct 135,SMD 5E08,20001,5862,38.91853082,-77.01240733,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1306+GALLAUDET+ST+NE,68852,1302,GALLAUDET STREET,NE,ANC 5D,Police Service Area 506,Ward 5,Cluster 23,Police District - Fifth District,Police Sector 5D3,008803,Precinct 76,SMD 5D01,20002,10508,38.91270915,-76.98812557,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1610+MICHIGAN+AVE+NE,59983,1612,MICHIGAN AVENUE,NE,ANC 5B,Police Service Area 405,Ward 5,Cluster 20,Police District - Fourth District,Police Sector 4D2,009503,Precinct 67,SMD 5B01,20017,7890,38.94275586,-76.98259041,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=3749+SOUTH DAKOTA+AVE+NE,31975,3701,SOUTH DAKOTA AVE,NE,ANC 5C,Police Service Area 503,Ward 5,Cluster 24,Police District - Fifth District,Police Sector 5D2,009400,Precinct 69,SMD 5C01,20018,11656,38.93530588,-76.97539807,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=3915+MINNESOTA+AVE+NE,29135,3917,MINNESOTA AVE,NE,ANC 7F,Police Service Area 603,Ward 7,Cluster 32,Police District - Sixth District,Police Sector 6D3,009603,Precinct 102,SMD 7F01,20019,8962,38.89381453,-76.94970662,NON RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1049+3RD+ST+SW,76172,1001,3RD ST,SW,ANC 6D,Police Service Area 105,Ward 6,Cluster 9,Police District - First District,Police Sector 1D3,010200,Precinct 128,SMD 6D05,20024,14875,38.87780877,-77.01574457,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=197+CHESAPEAKE+ST+SW,54481,190,CHESAPEAKE STREET,SW,ANC 8D,Police Service Area 708,Ward 8,Cluster 39,Police District - Seventh District,Police Sector 7D3,009807,Precinct 126,SMD 8D06,20032,12344,38.8284527,-77.01221179,RESIDENTIAL
http://citizenatlas.dc.gov/newwebservices/locationverifier.asmx/findLocation?str=1249+MARYLAND+AVE+SW,69767,1249,MARYLAND AVENUE,NE,ANC 6A,Police Service Area 104,Ward 6,Cluster 25,Police District - First District,Police Sector 1D2,008001,Precinct 81,SMD 6A02,20002,2688,38.89778514,-76.98849626,RESIDENTIAL
