"date","category_number","latitude","longitude","parameter_name","raw_concentration","AQI","location","agency","V10","V11","category","traffic_index_live","jams_delay","jams_length","jams_count","temp","pressure","humidity","temp_min","temp_max","weather_main","weather_description","wind_speed","wind_deg","sunrise","sunset","feels_like"
2020-10-27 17:00:00,1,38.894749,-76.953427,"PM2.5",8,35,"DCNearRoad","District of Columbia - Department of Energy and Environment",110010051,840110010051,"good",18,483.7,95.7,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 17:00:00,1,38.895683,-76.958089,"OZONE",9.2,7,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",18,483.7,95.7,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 17:00:00,1,38.921848,-77.013176,"SO2",0.159,0,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",18,483.7,95.7,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 17:00:00,1,38.859402,-77.058899,"NO2",6.5,6,"AURORA HILLS","Virginia Dept. of Environmental Quality",510130020,840510130020,"good",18,483.7,95.7,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 17:00:00,1,38.895683,-76.958089,"NO2",9.72,8,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",18,483.7,95.7,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 17:00:00,1,38.970101,-77.016715,"NO2",6.53,6,"TakomaRec","District of Columbia - Department of Energy and Environment",110010050,840110010050,"good",18,483.7,95.7,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 17:00:00,1,38.921848,-77.013176,"NO2",7.08,7,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",18,483.7,95.7,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 17:00:00,1,38.894749,-76.953427,"NO2",7.41,7,"DCNearRoad","District of Columbia - Department of Energy and Environment",110010051,840110010051,"good",18,483.7,95.7,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 17:00:00,1,38.859402,-77.058899,"OZONE",9,6,"AURORA HILLS","Virginia Dept. of Environmental Quality",510130020,840510130020,"good",18,483.7,95.7,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 17:00:00,1,38.921848,-77.013176,"OZONE",12.1,9,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",18,483.7,95.7,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 17:00:00,1,38.921848,-77.013176,"PM2.5",4,24,"McMillan Reservoir","District of Columbia - Department of Energy and Environment",110010043,840110010043,"good",18,483.7,95.7,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 17:00:00,1,38.895683,-76.958089,"PM2.5",6,26,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",18,483.7,95.7,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 17:00:00,1,38.875161,-77.012816,"PM2.5",-999,43,"King Greenleaf Rec Center","District of Columbia - Department of Energy and Environment",840110010053,840840110010053,"good",18,483.7,95.7,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 18:00:00,1,38.894749,-76.953427,"PM2.5",10,38,"DCNearRoad","District of Columbia - Department of Energy and Environment",110010051,840110010051,"good",17,291.4,69.1,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 18:00:00,1,38.921848,-77.013176,"PM2.5",3,18,"McMillan Reservoir","District of Columbia - Department of Energy and Environment",110010043,840110010043,"good",17,291.4,69.1,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 18:00:00,1,38.921848,-77.013176,"NO2",6.96,6,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",17,291.4,69.1,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 18:00:00,1,38.921848,-77.013176,"SO2",-0.306,0,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",17,291.4,69.1,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 18:00:00,1,38.895683,-76.958089,"OZONE",11.6,8,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",17,291.4,69.1,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 18:00:00,1,38.894749,-76.953427,"NO2",8.64,8,"DCNearRoad","District of Columbia - Department of Energy and Environment",110010051,840110010051,"good",17,291.4,69.1,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 18:00:00,1,38.970101,-77.016715,"NO2",6.02,6,"TakomaRec","District of Columbia - Department of Energy and Environment",110010050,840110010050,"good",17,291.4,69.1,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 18:00:00,1,38.921848,-77.013176,"OZONE",13.7,10,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",17,291.4,69.1,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 18:00:00,1,38.970101,-77.016715,"OZONE",12.9,8,"TakomaRec","District of Columbia - Department of Energy and Environment",110010050,840110010050,"good",17,291.4,69.1,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 18:00:00,1,38.895683,-76.958089,"PM2.5",6,25,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",17,291.4,69.1,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 18:00:00,1,38.875161,-77.012816,"PM2.5",-1,12,"King Greenleaf Rec Center","District of Columbia - Department of Energy and Environment",840110010053,840840110010053,"good",17,291.4,69.1,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 18:00:00,1,38.859402,-77.058899,"OZONE",11,7,"AURORA HILLS","Virginia Dept. of Environmental Quality",510130020,840510130020,"good",17,291.4,69.1,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 18:00:00,1,38.895683,-76.958089,"NO2",8.43,8,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",17,291.4,69.1,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 18:00:00,1,38.859402,-77.058899,"NO2",5.7,5,"AURORA HILLS","Virginia Dept. of Environmental Quality",510130020,840510130020,"good",17,291.4,69.1,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 19:00:00,1,38.970101,-77.016715,"OZONE",13,8,"TakomaRec","District of Columbia - Department of Energy and Environment",110010050,840110010050,"good",12,128.4,18,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 19:00:00,1,38.895683,-76.958089,"PM2.5",6,25,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",12,128.4,18,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 19:00:00,1,38.921848,-77.013176,"NO2",8.21,8,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",12,128.4,18,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 19:00:00,1,38.921848,-77.013176,"PM2.5",4,18,"McMillan Reservoir","District of Columbia - Department of Energy and Environment",110010043,840110010043,"good",12,128.4,18,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 19:00:00,1,38.859402,-77.058899,"NO2",6,6,"AURORA HILLS","Virginia Dept. of Environmental Quality",510130020,840510130020,"good",12,128.4,18,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 19:00:00,1,38.895683,-76.958089,"OZONE",12.9,9,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",12,128.4,18,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 19:00:00,1,38.921848,-77.013176,"OZONE",13.9,11,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",12,128.4,18,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 19:00:00,1,38.894749,-76.953427,"NO2",9.72,8,"DCNearRoad","District of Columbia - Department of Energy and Environment",110010051,840110010051,"good",12,128.4,18,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 19:00:00,1,38.875161,-77.012816,"PM2.5",9,26,"King Greenleaf Rec Center","District of Columbia - Department of Energy and Environment",840110010053,840840110010053,"good",12,128.4,18,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 19:00:00,1,38.921848,-77.013176,"SO2",0.116,0,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",12,128.4,18,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 19:00:00,1,38.894749,-76.953427,"PM2.5",9,38,"DCNearRoad","District of Columbia - Department of Energy and Environment",110010051,840110010051,"good",12,128.4,18,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 19:00:00,1,38.970101,-77.016715,"NO2",7.15,7,"TakomaRec","District of Columbia - Department of Energy and Environment",110010050,840110010050,"good",12,128.4,18,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 19:00:00,1,38.895683,-76.958089,"NO2",9.45,8,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",12,128.4,18,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 19:00:00,1,38.859402,-77.058899,"OZONE",13,8,"AURORA HILLS","Virginia Dept. of Environmental Quality",510130020,840510130020,"good",12,128.4,18,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 20:00:00,1,38.894749,-76.953427,"NO2",15.33,14,"DCNearRoad","District of Columbia - Department of Energy and Environment",110010051,840110010051,"good",7,89.7,13.3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 20:00:00,1,38.970101,-77.016715,"NO2",10.31,9,"TakomaRec","District of Columbia - Department of Energy and Environment",110010050,840110010050,"good",7,89.7,13.3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 20:00:00,1,38.921848,-77.013176,"NO2",11.49,10,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",7,89.7,13.3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 20:00:00,1,38.921848,-77.013176,"OZONE",12.3,10,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",7,89.7,13.3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 20:00:00,1,38.859402,-77.058899,"NO2",9.1,8,"AURORA HILLS","Virginia Dept. of Environmental Quality",510130020,840510130020,"good",7,89.7,13.3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 20:00:00,1,38.895683,-76.958089,"OZONE",11.6,9,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",7,89.7,13.3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 20:00:00,1,38.859402,-77.058899,"OZONE",12,8,"AURORA HILLS","Virginia Dept. of Environmental Quality",510130020,840510130020,"good",7,89.7,13.3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 20:00:00,1,38.921848,-77.013176,"PM2.5",8,25,"McMillan Reservoir","District of Columbia - Department of Energy and Environment",110010043,840110010043,"good",7,89.7,13.3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 20:00:00,1,38.894749,-76.953427,"PM2.5",11,42,"DCNearRoad","District of Columbia - Department of Energy and Environment",110010051,840110010051,"good",7,89.7,13.3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 20:00:00,1,38.921848,-77.013176,"SO2",-0.149,0,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",7,89.7,13.3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 20:00:00,1,38.895683,-76.958089,"PM2.5",11,35,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",7,89.7,13.3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 20:00:00,1,38.895683,-76.958089,"NO2",11.36,10,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",7,89.7,13.3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 20:00:00,1,38.970101,-77.016715,"OZONE",11,8,"TakomaRec","District of Columbia - Department of Energy and Environment",110010050,840110010050,"good",7,89.7,13.3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 20:00:00,1,38.875161,-77.012816,"PM2.5",5,23,"King Greenleaf Rec Center","District of Columbia - Department of Energy and Environment",840110010053,840840110010053,"good",7,89.7,13.3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 21:00:00,1,38.970101,-77.016715,"NO2",12.58,11,"TakomaRec","District of Columbia - Department of Energy and Environment",110010050,840110010050,"good",3,51,12.2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 21:00:00,1,38.859402,-77.058899,"OZONE",9,7,"AURORA HILLS","Virginia Dept. of Environmental Quality",510130020,840510130020,"good",3,51,12.2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 21:00:00,1,38.875161,-77.012816,"PM2.5",5,22,"King Greenleaf Rec Center","District of Columbia - Department of Energy and Environment",840110010053,840840110010053,"good",3,51,12.2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 21:00:00,1,38.921848,-77.013176,"NO2",11.94,10,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",3,51,12.2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 21:00:00,1,38.970101,-77.016715,"OZONE",8.4,8,"TakomaRec","District of Columbia - Department of Energy and Environment",110010050,840110010050,"good",3,51,12.2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 21:00:00,1,38.894749,-76.953427,"NO2",12.83,11,"DCNearRoad","District of Columbia - Department of Energy and Environment",110010051,840110010051,"good",3,51,12.2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 21:00:00,1,38.895683,-76.958089,"OZONE",11.5,10,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",3,51,12.2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 21:00:00,1,38.894749,-76.953427,"PM2.5",11,44,"DCNearRoad","District of Columbia - Department of Energy and Environment",110010051,840110010051,"good",3,51,12.2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 21:00:00,1,38.859402,-77.058899,"NO2",10.5,9,"AURORA HILLS","Virginia Dept. of Environmental Quality",510130020,840510130020,"good",3,51,12.2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 21:00:00,1,38.921848,-77.013176,"PM2.5",6,25,"McMillan Reservoir","District of Columbia - Department of Energy and Environment",110010043,840110010043,"good",3,51,12.2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 21:00:00,1,38.895683,-76.958089,"PM2.5",5,28,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",3,51,12.2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 21:00:00,1,38.921848,-77.013176,"OZONE",12.1,10,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",3,51,12.2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 21:00:00,1,38.921848,-77.013176,"SO2",-0.155,0,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",3,51,12.2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 21:00:00,1,38.895683,-76.958089,"NO2",12.49,11,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",3,51,12.2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 22:00:00,1,38.859402,-77.058899,"NO2",12,11,"AURORA HILLS","Virginia Dept. of Environmental Quality",510130020,840510130020,"good",2,55.9,16.4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 22:00:00,1,38.859402,-77.058899,"OZONE",7,7,"AURORA HILLS","Virginia Dept. of Environmental Quality",510130020,840510130020,"good",2,55.9,16.4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 22:00:00,1,38.921848,-77.013176,"OZONE",8.8,9,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",2,55.9,16.4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 22:00:00,1,38.894749,-76.953427,"PM2.5",7,36,"DCNearRoad","District of Columbia - Department of Energy and Environment",110010051,840110010051,"good",2,55.9,16.4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 22:00:00,1,38.895683,-76.958089,"OZONE",8.6,8,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",2,55.9,16.4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 22:00:00,1,38.921848,-77.013176,"PM2.5",5,23,"McMillan Reservoir","District of Columbia - Department of Energy and Environment",110010043,840110010043,"good",2,55.9,16.4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 22:00:00,1,38.921848,-77.013176,"NO2",14.18,13,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",2,55.9,16.4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 22:00:00,1,38.921848,-77.013176,"SO2",0.007,0,"McMillan NCORE","District of Columbia - Department of Energy and Environment",110010044,840110010044,"good",2,55.9,16.4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 22:00:00,1,38.894749,-76.953427,"NO2",16.78,15,"DCNearRoad","District of Columbia - Department of Energy and Environment",110010051,840110010051,"good",2,55.9,16.4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 22:00:00,1,38.970101,-77.016715,"NO2",14.55,13,"TakomaRec","District of Columbia - Department of Energy and Environment",110010050,840110010050,"good",2,55.9,16.4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 22:00:00,1,38.875161,-77.012816,"PM2.5",5,21,"King Greenleaf Rec Center","District of Columbia - Department of Energy and Environment",840110010053,840840110010053,"good",2,55.9,16.4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27 22:00:00,1,38.895683,-76.958089,"NO2",15.45,14,"RIVER_Terrace","District of Columbia - Department of Energy and Environment",110010041,840110010041,"good",2,55.9,16.4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
